ID,日本語,英語,中国語,
ALARM_DESC,アラーム１個を使用すれば、<br>宝箱の時間が１５分短縮できます,Use one alarm to reduce the time of the treasure box by 15 minutes,使用時鐘可將寶箱的時間減少15分鐘,
ADS_DESC,広告を観て宝箱の時間が１０分短縮できます,Time of the treasure box to watch the ads you can save 10 minutes,觀看廣告可節省10分鐘的時間,
RANK_DESC,勝率が６５%以上でランクアップします<br>ランクアップでより高レアの宝箱が出現します<br><br><color=orange>更新まで残り {0:D2}:{1:D2}:{2:D2}</color>,Rank up with a win rate of 65% or higher.<br>Treasure boxs with higher rares will appear with rank up!!<br> <br> <color=orange> Remaining until updated {0:D2}:{1:D2}:{2:D2} </color>,勝率達到65％或更高時便可提升等級排名<br>稀有度更高的寶箱將隨著等級升高而出現<br><br><color=orange>下次更新{0:D2}:{1:D2}:{2:D2} </color>,
NAME_EDIT_ERROR,最低１文字が必要です,You must have at least one character,你必須至少有一個字符,
APP_UPDATED,アプリバージョンが更新しました。<br>ストアに遷移します,The app version has been updated. <br> Transition to store,應用程序版本已更新<br>前往商店,
USERNAME_INPUT,「<color=red>ちびコロ</color>」にようこそ<br>あなたの名前を教えてください,Welcome to <color=red>Little Colosseum</color><br>Please enter your username,歡迎來到 <color=red>Little Colosseum</color><br>請輸入名字,
BATTLE_GET_ALARM,「アラーム」発見しました,FOUND ALARM,得到「時鐘」,
ROOM_TUTORIAL,<color=yellow>Room ID</color>を入力して<br><color=yellow>検索</color>ボタンで対戦できます<br><br>「<color=red>マイ・ルーム</color>」に自分のルームが作れます,Enter <color=yellow>Room ID</color> and push <br><color=yellow>Search</color> can play with other user!<br><br><color=red>My Room</color> can create your own room.,輸入<color=yellow>Room ID</color>後<br>按<color=yellow>搜索</color>便可對戰<br><br>在<color=red>我的房間</color>可創建自己的房間,
RECORD_TUTORIAL,今までのバトルをもう一回確認できますよ,Here can playback the battle record!,可以播放戰鬥記錄,
SHADOW_TUTORIAL,デッキを登録し<br>Room IDを共有しよう,Register the deck and share the Room ID,在這裡可登記隊形和分享Room ID,
TWITTER_CONFIRM,Room ID ( {0} ) 発行しました<br>Twitter で共有しますか？,Room ID ({0}) posted <br> Share to Twitter?,Room ID（{0}）已發布<br>分享至Twitter？,
TWITTER_TEXT,私と対戦しよう！！Room ID は<br>{0}<br>#ちびっコロシアム<br>#ちびコロ<br>#LittleColosseum<br>https://play.google.com/store/apps/details?id=com.zoo.alice,PLAY with ME！！Room ID is<br>{0}<br>#ちびっコロシアム<br>#ちびコロ<br>#LittleColosseum<br>https://play.google.com/store/apps/details?id=com.zoo.alice,快和我對戰！！Room ID <br>{0}<br>#ちびっコロシアム<br>#ちびコロ<br>#LittleColosseum<br>https://play.google.com/store/apps/details?id=com.zoo.alice,
BATTLE_DESC,まず「<color=red>闘技場</color>」を実行してみよう<br><br>※闘技場で戦ってランクアップできます,Let's <color=red>COLOSSEUM</color><br><br>※Here you can rank up ,請按「<color=red>競技場</color>」<br><br>※在競技場勝出可以升級,
GET_SKILL_DESC,おめでとうございます<br><br>スキルが入手しました<br>キャラにスキルを付けましょう,Congratulations!!<br><br>Found a SKILL<br>Please set SKILL to your character,恭喜<br><br>找到了技能<br>請嘗試為角色設定技能,
GET_CHARA_DESC,おめでとうございます<br><br>キャラが入手しました<br>デッキに入れてみよう,Congratulations!!<br><br>Found a Character<br>Please set character to your deck,恭喜<br><br>找到了角色<br>請嘗試設定隊形,
DECK_EDIT_ERROR,最低１体が必要,At least one character is required,至少需要設定一個角色,
ADS_ERROR,ランク確定時使用回数が補充されます,The time of rank confirmation is replenished,在等級確認時會被補充,
GET_DIALOG,おめでとうございます,Congratulations!!,恭喜,
CHEST_DIALOG,「<color=yellow>キャラ</color>」や「<color=yellow>スキル</color>」が入手できます,You can get <color=yellow>characters</color> and <color=yellow>skills</color> in the treasure box,您可以在寶箱中獲得<color=yellow>角色</color>和<color=yellow>技能</color>,
HEADER_RANK_TUTORIAL,<color=yellow>闘技場</color>で戦ってランクアップできます<br>次回更新までの残り時間を確認してみよう,Fight and improve your rank in the <color=yellow>COLOSSEUM</color><br>Let's check the remaining time until the next update.,在<color=yellow>競技場</ color>中戰鬥可提升等級<br>讓我們檢查下一次更新之前的剩餘時間,
HomeFooter01,ホーム,HOME,主頁,
